Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"lib\axios.js",1,1,1,1,18,4,10,4,,,0,,,4,,3,,,,,,,,,,,56,0,56,0,13,0,13,0,28,28,0,15,0,15,0,1,0,27,11,11,0,16,16,0,1,1,1,1,1,1,1,,0,0.54,4,4,4,4
File,"lib\cancel\Cancel.js",1,1,1,1,8,1,5,2,,,0,,,3,,2,,,,,,,,,,,19,0,19,0,4,0,4,0,9,9,0,6,0,6,0,1,0,8,2,2,0,6,6,0,1,1,1,1,2,2,1,,0,0.67,4,4,4,3
File,"lib\cancel\CancelToken.js",1,1,1,1,15,1,11,2,,,0,,,7,,6,,,,,,,,,,,57,0,57,0,8,0,8,0,35,35,0,14,0,14,0,1,0,28,11,11,0,17,17,0,1,1,1,1,2,2,1,,1,0.40,10,10,10,7
File,"lib\cancel\isCancel.js",1,1,1,1,4,0,3,0,,,0,,,2,,1,,,,,,,,,,,5,0,5,0,1,0,1,0,4,4,0,0,0,0,0,1,0,4,1,1,0,3,3,0,1,1,1,1,1,1,1,,0,0.00,2,2,3,2
File,"lib\core\Axios.js",1,1,1,1,18,2,14,2,,,0,,,10,,9,,,,,,,,,,,95,0,95,0,14,0,14,0,64,64,0,17,0,17,0,1,0,47,16,16,0,31,31,0,1,1,1,1,5,5,1,,2,0.27,14,14,19,10
File,"lib\core\InterceptorManager.js",1,1,1,1,13,1,8,3,,,0,,,6,,5,,,,,,,,,,,52,0,52,0,6,0,6,0,25,25,0,21,0,21,0,1,0,19,6,6,0,13,13,0,1,1,1,1,2,2,1,,1,0.84,8,8,8,6
File,"lib\core\buildFullPath.js",1,1,2,1,13,1,7,4,,,0,,,2,,1,,,,,,,,,,,20,0,20,0,2,0,2,0,9,9,0,9,0,9,0,1,0,8,3,3,0,5,5,0,1,1,1,1,2,2,1,,1,1.00,3,3,4,2
File,"lib\core\createError.js",1,1,1,1,11,1,5,5,,,0,,,2,,1,,,,,,,,,,,18,0,18,0,2,0,2,0,6,6,0,10,0,10,0,1,0,6,3,3,0,3,3,0,1,1,1,1,1,1,1,,0,1.67,2,2,2,2
File,"lib\core\dispatchRequest.js",1,1,2,1,28,4,20,3,,,0,,,6,,5,,,,,,,,,,,79,0,79,0,13,0,13,0,52,52,0,14,0,14,0,1,0,29,10,10,0,19,19,0,1,1,1,1,3,3,1,,2,0.27,9,9,14,6
File,"lib\core\enhanceError.js",1,1,1,1,30,1,21,7,,,0,,,3,,2,,,,,,,,,,,42,0,42,0,3,0,3,0,25,25,0,14,0,14,0,1,0,13,2,2,0,11,11,0,1,1,1,1,2,2,1,,1,0.56,4,4,4,3
File,"lib\core\mergeConfig.js",2,2,2,1,25,3,20,1,,,0,,,8,,7,,,,,,,,,,,87,0,87,0,13,0,13,0,65,65,0,9,0,9,0,1,0,46,15,15,0,31,31,0,1,1,1,1,4,4,4,,3,0.14,18,18,20,11
File,"lib\core\settle.js",1,1,2,1,19,1,15,3,,,0,,,2,,1,,,,,,,,,,,25,0,25,0,2,0,2,0,16,16,0,7,0,7,0,1,0,8,3,3,0,5,5,0,1,1,1,1,2,2,1,,1,0.44,3,3,5,2
File,"lib\core\transformData.js",1,1,1,1,10,1,5,3,,,0,,,3,,2,,,,,,,,,,,20,0,20,0,3,0,3,0,8,8,0,9,0,9,0,1,0,8,3,3,0,5,5,0,1,1,1,1,1,1,1,,0,1.13,3,3,3,3
File,"lib\defaults.js",2,2,3,1,19,1,16,1,,,0,,,8,,7,,,,,,,,,,,98,0,98,0,15,0,15,0,76,76,0,8,0,8,0,1,0,44,12,12,0,32,32,0,1,1,1,1,5,5,5,,2,0.11,17,17,25,12
File,"lib\helpers\bind.js",1,1,1,1,9,0,8,0,,,0,,,3,,2,,,,,,,,,,,11,0,11,0,1,0,1,0,10,10,0,0,0,0,0,1,0,9,3,3,0,6,6,0,1,1,1,1,2,2,1,,1,0.00,4,4,4,3
File,"lib\helpers\buildURL.js",3,3,3,1,31,4,25,1,,,0,,,5,,4,,,,,,,,,,,70,0,70,0,11,0,11,0,51,51,0,8,0,8,0,1,0,35,8,8,0,27,27,0,1,1,1,1,7,7,1,,2,0.16,15,15,16,5
File,"lib\helpers\combineURLs.js",1,1,1,1,9,0,5,3,,,0,,,2,,1,,,,,,,,,,,14,0,14,0,1,0,1,0,6,6,0,7,0,7,0,1,0,4,1,1,0,3,3,0,1,1,1,1,2,2,1,,0,1.17,3,3,3,2
File,"lib\helpers\cookies.js",1,1,1,1,14,2,11,0,,,0,,,9,,8,,,,,,,,,,,53,0,53,0,11,0,11,0,40,40,0,2,0,2,0,1,0,28,11,11,0,17,17,0,2,2,2,1,5,5,1,,1,0.05,15,15,15,9
File,"lib\helpers\deprecatedMethod.js",2,2,2,1,18,2,11,5,,,0,,,2,,1,,,,,,,,,,,24,0,24,0,3,0,3,0,12,12,0,10,0,10,0,1,0,7,1,1,0,6,6,0,1,1,1,1,4,4,1,,2,0.83,5,5,5,2
File,"lib\helpers\isAbsoluteURL.js",1,1,1,1,10,0,3,7,,,0,,,2,,1,,,,,,,,,,,14,0,14,0,1,0,1,0,4,4,0,10,0,10,0,1,0,4,1,1,0,3,3,0,1,1,1,1,1,1,1,,0,2.50,2,2,2,2
File,"lib\helpers\isAxiosError.js",1,1,1,1,7,0,3,3,,,0,,,2,,1,,,,,,,,,,,11,0,11,0,1,0,1,0,4,4,0,6,0,6,0,1,0,4,1,1,0,3,3,0,1,1,1,1,1,1,1,,0,1.50,2,2,3,2
File,"lib\helpers\isURLSameOrigin.js",2,2,2,1,26,3,17,5,,,0,,,6,,5,,,,,,,,,,,68,0,68,0,10,0,10,0,41,41,0,17,0,17,0,1,0,23,11,11,0,12,12,0,2,2,2,1,6,6,1,,1,0.41,13,13,14,6
File,"lib\helpers\normalizeHeaderName.js",1,1,1,1,8,0,8,0,,,0,,,3,,2,,,,,,,,,,,12,0,12,0,2,0,2,0,10,10,0,0,0,0,0,1,0,9,3,3,0,6,6,0,1,1,1,1,2,2,1,,1,0.00,4,4,5,3
File,"lib\helpers\parseHeaders.js",3,3,3,1,32,4,23,5,,,0,,,3,,2,,,,,,,,,,,53,0,53,0,7,0,7,0,31,31,0,15,0,15,0,1,0,23,8,8,0,15,15,0,1,1,1,1,6,6,3,,2,0.48,9,9,10,5
File,"lib\helpers\spread.js",1,1,1,1,11,0,4,6,,,0,,,3,,2,,,,,,,,,,,27,0,27,0,1,0,1,0,6,6,0,20,0,20,0,1,0,6,2,2,0,4,4,0,1,1,1,1,1,1,1,,0,3.33,3,3,3,3
File,"lib\utils.js",1,1,2,1,20,1,11,6,,,0,,,25,,24,,,,,,,,,,,349,0,349,0,30,0,30,0,153,153,0,167,0,167,0,1,0,84,29,29,0,55,55,0,1,1,1,1,7,7,1,,3,1.09,40,40,60,25
Function,"merge",,,,,,,,,,,,,,,,,,,,,,,,,,,19,,19,,1,,1,,18,18,,1,,1,,2,0,13,3,3,,10,10,,2,2,2,1,,,,,1,,6,6,7,2
Function,"merge.assignValue",,,,,,,,,,,,,,,,,,,,,,,,,,,11,,11,,0,,0,,11,11,,0,,0,,4,1,8,1,1,,7,7,,4,4,5,1,,,,,3,,4,4,5,1
Function,"mergeConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,75,,75,,11,,11,,63,63,,1,,1,,1,0,43,14,14,,29,29,,1,1,2,1,,,,,0,,17,17,19,10
Function,"mergeConfig.defaultToConfig2",,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,3,0,5,1,1,,4,4,,3,3,3,1,,,,,2,,3,3,3,1
Function,"mergeConfig.getMergedValue",,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,,0,,0,,10,10,,0,,0,,4,1,8,1,1,,7,7,,4,4,5,4,,,,,3,,4,4,5,4
Function,"mergeConfig.merge",,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,3,0,5,1,1,,4,4,,3,3,3,1,,,,,2,,3,3,3,1
Function,"mergeConfig.mergeDeepProperties",,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,3,0,5,1,1,,4,4,,3,3,3,1,,,,,2,,3,3,3,1
Function,"mergeConfig.otherKeys.filterAxiosKeys",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"mergeConfig.valueFromConfig2",,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,0,,0,,5,5,,0,,0,,2,0,3,1,1,,2,2,,2,2,2,1,,,,,1,,2,2,2,1
Function,"nonStandardBrowserEnv",,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,1,0,6,4,4,,2,2,,1,1,1,1,,,,,0,,12,12,12,7
Function,"nonStandardBrowserEnv",,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,0,,0,,5,5,,0,,0,,1,0,4,2,2,,2,2,,1,1,1,1,,,,,0,,2,2,2,2
Function,"nonStandardBrowserEnv.isURLSameOrigin",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"normalizeHeaderName",,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,,0,,0,,8,8,,0,,0,,1,0,6,2,2,,4,4,,1,1,1,1,,,,,0,,3,3,4,2
Function,"normalizeHeaderName.processHeader",,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,0,,0,,6,6,,0,,0,,2,0,4,1,1,,3,3,,2,2,3,1,,,,,1,,2,2,3,1
